Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
Y,33.0132128825196,88.90585,3618.0,3.0,190.0,4472.0,22.7,29.6,1.22,6.2173,11.39,0.0,0.0,0.298,26.53,11.39,1799.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,9.0,3.0,22.7,5.0,194.0
Zr,23.2659432691915,91.224,4682.0,4.0,175.0,6511.0,17.9,41.1,1.33,6.6339,21.0,0.0,0.0,0.278,25.36,21.0,2128.0,44.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,8.0,4.0,17.9,5.0,194.0
Nb,18.0021329803168,92.90638,5017.0,5.0,164.0,8570.0,15.7,86.1,1.6,6.75885,30.0,0.0,0.0,0.265,24.6,30.0,2750.0,47.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,7.0,5.0,15.7,5.0,229.0
Mo,15.5008806878023,95.96,4912.0,6.0,154.0,10280.0,12.8,71.9,2.16,7.09243,37.48,0.0,0.0,0.251,24.06,37.48,2896.0,50.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,6.0,6.0,12.8,5.0,229.0
Tc,14.1510115085267,98.0,4538.0,7.0,147.0,11500.0,11.4,53.0,1.9,7.28,33.29,0.0,0.0,0.0,0.0,33.29,2430.0,53.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0,5.0,7.0,11.4,5.0,194.0
Ru,13.5678744093001,101.07,4423.0,8.0,146.0,12370.0,9.6,101.3,2.2,7.3605,38.59,0.0,0.0,0.238,24.06,38.59,2607.0,56.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,44.0,4.0,8.0,9.6,5.0,194.0
Rh,13.7255098107475,102.9055,3968.0,9.0,142.0,12450.0,8.6,109.7,2.28,7.4589,26.59,0.0,0.0,0.243,24.98,26.59,2237.0,59.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,3.0,9.0,8.6,5.0,225.0
Pd,14.6983862685637,106.42,3236.0,10.0,139.0,12023.0,4.8,53.7,2.2,8.3369,16.74,0.0,0.0,0.244,25.98,16.74,1828.05,62.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,10.0,4.8,5.0,225.0
Ag,17.0756479498908,107.8682,2435.0,11.0,145.0,10490.0,6.99,125.6,1.93,7.57623,11.3,0.0,0.0,0.235,25.35,11.3,1234.93,65.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,1.0,11.0,6.99,5.0,225.0
Cd,21.580025455795,112.411,1040.0,12.0,144.0,8650.0,7.32,0.0,1.69,8.99382,6.21,0.0,0.0,0.231,26.02,6.21,594.22,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,0.0,12.0,7.32,5.0,194.0
In,26.0826581603887,114.818,2345.0,13.0,142.0,7310.0,9.65,28.9,1.78,5.78636,3.291,0.0,0.0,0.233,26.74,3.291,429.75,75.0,0.0,10.0,0.0,0.0,5.0,1.0,0.0,2.0,49.0,5.0,13.0,9.65,5.0,139.0
